M_D_Y,TIME_2400,PO43,NO3_NO2,NH4_NH3,Si,TDP,TDN,Turbidity,Salinity,Temp,pH,DO,Chl_a
9/26/07,832,0.11,0.06,0.31,5.0,0.32,4.2,0.07,34.992,26.8,8.11,6.20,0.05
12/13/07,1044,0.15,0.03,,5.6,0.42,6.3,0.18,34.720,25.7,8.28,6.20,0.2
3/10/08,946,0.15,0.36,0.06,4.5,0.38,7.6,0.10,34.888,25.0,8.2,6.53,0.21
6/5/08,941,0.12,0.13,0.16,16.6,0.26,6.5,0.08,34.8146,25.0,8.07,6.63,0.13
9/22/08,1101,0.05,0.05,0.14,1.4,0.25,5.9,0.08,34.839,26.7,8.02,6.27,0.05
11/17/08,939,0.16,0.04,0.14,2.8,0.37,5.5,0.20,34.966,25.6,8.24,5.99,0.08
2/9/09,939,0.09,0.21,0.12,2.9,0.17,4.9,0.09,35.047,24.9,8.06,6.04,0.01
4/13/09,932,0.14,0.30,3.47,,0.48,10.5,0.18,34.924,24.1,8.15,6.03,0.1
9/9/09,935,0.11,0.11,0.12,6.1,0.53,6.4,0.11,35.20,26.8,8.20,5.66,0.26
11/23/09,951,0.03,0.08,0.05,15.9,0.40,5.1,0.07,35.18,25.3,8.25,6.16,0.18
2/23/10,1002,0.15,0.00,0.48,14.5,0.38,4.0,0.04,35.06,24.6,8.21,6.03,0.23
5/25/10,1115,0.01,0.01,0.04,2.3,0.31,4.8,0.11,35.06,25.2,8.22,6.87,0.05
8/10/10,955,0.02,0.67,0.05,7.2,0.27,3.6,0.06,34.77,25.98,8.22,6.28,0.06
11/8/10,943,0.00,0.02,0.07,7.0,0.32,4.4,0.04,35.31,26.58,8.25,6.17,0.03
1/11/11,957,0.11,0.00,0.07,0.6,0.42,3.0,0.04,35.04,25.12,8.21,6.34,0.13
4/26/11,935,0.10,0.21,0.08,4.7,0.46,3.5,0.08,34.94,25.03,8.22,6.33,0.14
7/26/11,1017,0.17,0.29,0.06,2.7,0.48,5.4,0.08,34.79,26.10,8.26,6.32,0.08
10/18/11,947,0.01,0.03,0.11,2.0,0.39,5.5,0.08,35.06,26.60,8.23,6.78,0.13
1/25/12,1013,0.06,0.01,0.04,1.8,0.41,6.2,0.07,35.04,24.77,8.20,6.74,0.08
4/26/11,935,0.09,0.03,0.15,0.9,0.38,4.4,0.11,35.19,24.64,8.22,6.66,0.08
7/24/12,956,0.00,0.16,0.09,1.6,0.37,5.5,0.03,35.09,26.36,8.23,6.76,0.08
11/27/12,950,0.06,0.16,0.31,2.5,0.42,5.9,0.09,35.22,25.10,8.21,6.87,0.09
1/24/13,957,0.05,0.01,0.12,1.1,0.47,6.2,0.04,35.10,24.69,8.22,6.33,0.09
4/16/13,1003,0.14,0.04,0.07,0.7,0.46,6.2,0.03,35.12,24.91,8.21,6.74,0.05
8/1/13,911,0.03,0.24,0.06,6.6,0.41,5.7,0.06,35.09,26.0,8.25,6.14,0.15
10/29/13,946,0.12,0.18,0.41,2.3,0.42,5.3,0.02,35.28,27.1,8.20,6.13,0.24
2/4/14,949,0.08,0.07,0.24,2.9,0.41,6.3,0.02,34.91,25.3,8.23,6.25,0.22
5/6/14,951,0.06,0.01,0.15,1.2,0.43,6.0,0.06,34.83,26.0,8.22,6.12,0.14
8/5/14,957,0.16,0.07,0.31,1.2,0.55,5.0,0.11,34.98,26.8,8.22,5.86,0.11
11/17/14,1137,0.15,0.09,0.42,0.5,0.42,5.3,0.10,35.00,27.1,8.21,6.81,0.22
3/3/15,953,0.03,0.54,0.09,5.1,0.10,7.0,0.07,34.72,25.6,8.15,6.66,0.16
6/16/15,1104,0.11,0.55,0.19,4.8,0.41,5.7,0.05,34.11,26.6,8.21,6.02,0.18
8/26/15,1204,0.12,0.03,0.18,1.1,0.39,4.8,0.02,34.60,28.6,8.21,6.25,0.11
11/17/15,1004,0.14,0.44,0.19,4.7,0.52,6.1,0.05,33.95,27.3,8.21,6.19,0.19
3/1/16,1005,0.14,0.39,1.06,2.5,0.46,5.7,,34.71,25.5,8.24,5.70,0.10
5/3/16,937,0.12,0.11,0.09,0.3,0.47,10.1,0.06,34.72,25.5,8.27,6.38,0.00
7/6/16,1021,0.08, ,0.26,1.6,0.48,5.3,0.07,34.53,26.9,8.25,6.64,0.26
12/20/16,1013,0.04,0.14,0.01,2.4,0.33,2.4,0.03,34.71,25.6,8.25,5.57,0.17
2/28/17,912,0.00,0.01,0.04,0.3,0.31,4.6,0.12,34.66,24.7,8.22,6.19,0.15
5/9/17,1033,0.04,0.25,0.34,2.2,0.24,3.3,0.09,34.61,25.7,8.20,4.63,0.09
9/27/17,1002,0.14,0.41,0.18,2.4,0.50,3.4,0.09,34.74,27.7,8.18,4.25,
11/28/17,1056,0.10,0.55,0.25,2.0,0.38,3.2,0.06,35.08,26.2,8.19,4.82,